"var1","var2","Ncases","Nweight","cor","cor_SE","t","df","p","cor_fmi","cor_VarMI","cor_VarRep","ulke"
"BULLIED","FEELSAFE",6224,410118.436780006,-0.0621811233643236,0.0720693693941759,-0.86,Inf,0.389789042503617,0,0,0.00519399400487418,"KOR"
"BULLIED","CREATEFF",6224,410118.436780006,0.0361165591734319,0.0544123126823801,0.66,Inf,0.509253829342672,0,0,0.0029606997714451,"KOR"
"BULLIED","ESCS",6224,410118.436780006,0.038348013410601,0.0460494685918921,0.83,Inf,0.406538783656137,0,0,0.00212055355759566,"KOR"
"BULLIED","ANXMAT",6224,410118.436780006,0.051488542196651,0.0723919852864008,0.71,Inf,0.477704136179973,0,0,0.00524059953370647,"KOR"
"BULLIED","FAMSUP",6224,410118.436780006,-0.0207627431793392,0.0645983167114104,-0.32,Inf,0.74896833055336,0,0,0.00417294252194769,"KOR"
"BELONG","FEELSAFE",6224,410118.436780006,0.32861084186154,0.042145000539751,7.8,Inf,6.1907175439174e-15,0,0,0.00177620107049561,"KOR"
"BELONG","CREATEFF",6224,410118.436780006,0.21678611242977,0.0503521805318725,4.31,Inf,1.63254546055262e-05,0,0,0.00253534208431428,"KOR"
"BELONG","ESCS",6224,410118.436780006,0.111014335214031,0.05740430063253,1.93,Inf,0.0536068377541099,0,0,0.00329525373110989,"KOR"
"BELONG","ANXMAT",6224,410118.436780006,-0.182518747120998,0.0347873354017655,-5.25,Inf,1.52099210329774e-07,0,0,0.00121015870435493,"KOR"
"BELONG","FAMSUP",6224,410118.436780006,0.190621774186725,0.0373244913078172,5.11,Inf,3.22158812244275e-07,0,0,0.00139311765138732,"KOR"
"FEELSAFE","CREATEFF",6224,410118.436780006,0.121045474965813,0.0442462517566247,2.74,Inf,0.00614391843730098,0,0,0.00195773079451061,"KOR"
"FEELSAFE","ESCS",6224,410118.436780006,0.100248360435263,0.0527223184899624,1.9,Inf,0.0574331196320036,0,0,0.00277964286695703,"KOR"
"FEELSAFE","ANXMAT",6224,410118.436780006,-0.147359214639739,0.0472710042464288,-3.12,Inf,0.00180851039964468,0,0,0.00223454784246589,"KOR"
"FEELSAFE","FAMSUP",6224,410118.436780006,0.115215248735771,0.0606214765569935,1.9,Inf,0.0574331196320036,0,0,0.00367496341995011,"KOR"
"CREATEFF","ESCS",6224,410118.436780006,0.215474286965167,0.0412570204659797,5.22,Inf,1.78923130725815e-07,0,0,0.00170214173773027,"KOR"
"CREATEFF","ANXMAT",6224,410118.436780006,-0.0693701100437414,0.0799752943146099,-0.87,Inf,0.384300404207392,0,0,0.00639604770070847,"KOR"
"CREATEFF","FAMSUP",6224,410118.436780006,0.249357754234484,0.0635582405027826,3.92,Inf,8.85489686241415e-05,0,0,0.00403964993580955,"KOR"
