"parameter","est","SE","t","df","p","VarRep","ulke","model"
"ICC_Cond",0.0078222468961446,0.0163488134316169,0.48,Inf,0.631227393032445,0.000267283700621818,"TUR","B_CREATEFF"
"beta_(Intercept)",0.147003287829521,0.136510655386832,1.08,Inf,0.280142180177538,0.0186351590341424,"KOR","A1_BELONG"
"beta_BULLIED_CWC",-0.169004661084914,0.0890369716244793,-1.9,Inf,0.0574331196320036,0.00792758231605833,"KOR","A1_BELONG"
"beta_ESCS_CWC",0.0724233033532462,0.0688507343026675,1.05,Inf,0.293718112751792,0.00474042361401651,"KOR","A1_BELONG"
"beta_ANXMAT_CWC",-0.131152243788753,0.0352326557654066,-3.72,Inf,0.000199222777951833,0.00124134003228364,"KOR","A1_BELONG"
"beta_FAMSUP_CWC",0.177694007295868,0.0446244038551244,3.98,Inf,6.89152682301061e-05,0.00199133741942524,"KOR","A1_BELONG"
"beta_ST004D01T",0.0744016906061743,0.0829133852442019,0.9,Inf,0.368120250693519,0.00687462945265344,"KOR","A1_BELONG"
"Var_(Intercept)",0.010958951007633,0.0167829977965717,0.65,Inf,0.515692221611729,0.000281669015039732,"KOR","A1_BELONG"
"ResidVar",0.92783849310421,0.0135621113294167,68.41,Inf,0,0.000183930863711492,"KOR","A1_BELONG"
"ExplVar_Lev2_Fixed",-0.00323268413057802,0.00448464390029965,-0.72,Inf,0.471524995558502,2.01120309124949e-05,"KOR","A1_BELONG"
"ExplVar_Lev2_Random",0,0,NA,Inf,NA,0,"KOR","A1_BELONG"
"ResidVar_Lev2",0.010958951007633,0.0167829977965717,0.65,Inf,0.515692221611729,0.000281669015039732,"KOR","A1_BELONG"
"ExplVar_Lev1_Fixed",0.127578933027287,0.151143692641071,0.84,Inf,0.400908386520899,0.0228444158251785,"KOR","A1_BELONG"
"ExplVar_Lev1_Random",0,0,NA,Inf,NA,0,"KOR","A1_BELONG"
"ResidVar_Lev1",0.92783849310421,0.0135621113294167,68.41,Inf,0,0.000183930863711492,"KOR","A1_BELONG"
"Var_Total",1.06314369300855,0.146000397666763,7.28,Inf,3.33820176355857e-13,0.0213161161188528,"KOR","A1_BELONG"
"R2_Lev2",-0.418401820959388,5.92267434373387,-0.07,Inf,0.944193659638958,35.0780713819235,"KOR","A1_BELONG"
"R2_Lev1",0.120880070641729,0.117126643980758,1.03,Inf,0.303010005576687,0.0137186507301952,"KOR","A1_BELONG"
"R2_Total",0.116960905392597,0.114237901451538,1.02,Inf,0.30772846074547,0.0130502981280513,"KOR","A1_BELONG"
"ICC_Uncond",0.00726737780402076,0.0170604175411865,0.43,Inf,0.667195641190915,0.000291057846679623,"KOR","A1_BELONG"
"ICC_UncondWB",-0.00065194906253541,0.0235014117125844,-0.03,Inf,0.976067053171775,0.000552316352484397,"KOR","A1_BELONG"
"ICC_Cond",0.0116733924622056,0.0178079979186125,0.66,Inf,0.509253829342672,0.000317124789869307,"KOR","A1_BELONG"
