"parameter","est","SE","t","df","p","VarRep","ulke","model"
"ICC_Uncond",0.0303427774491727,0.0249951147088011,1.21,Inf,0.226278892887955,0.000624755759306124,"MEX","M2_FEELSAFE"
"ICC_UncondWB",0.0300583678147866,0.0270846213161792,1.11,Inf,0.266999026485494,0.000733576711840828,"MEX","M2_FEELSAFE"
"ICC_Cond",0.035958722896849,0.0283077732416935,1.27,Inf,0.204084630149638,0.000801330025903138,"MEX","M2_FEELSAFE"
"beta_(Intercept)",0.568833801712668,0.163592785820289,3.48,Inf,0.000501413782561075,0.026762599572443,"MEX","M3_CREATSCH"
"beta_BELONG_CWC",0.0447650104548866,0.0658031779696142,0.68,Inf,0.496504460907141,0.00433005823090072,"MEX","M3_CREATSCH"
"beta_FEELSAFE_CWC",0.116661735649532,0.0679038691790992,1.72,Inf,0.0854324415826579,0.00461093544949222,"MEX","M3_CREATSCH"
"beta_BULLIED_CWC",-0.0755730872222943,0.0524015406073841,-1.44,Inf,0.149867399068654,0.00274592145802732,"MEX","M3_CREATSCH"
"beta_ESCS_CWC",-0.0288559832782668,0.0483940512122273,-0.6,Inf,0.548506235500147,0.00234198419273168,"MEX","M3_CREATSCH"
"beta_ANXMAT_CWC",-0.0670132870037855,0.0604358839461514,-1.11,Inf,0.266999026485494,0.00365249606835269,"MEX","M3_CREATSCH"
"beta_FAMSUP_CWC",0.230263418456304,0.0528605879226145,4.36,Inf,1.30062444019856e-05,0.00279424175552446,"MEX","M3_CREATSCH"
"beta_ST004D01T",-0.109497608229262,0.101949816801454,-1.07,Inf,0.284619308711878,0.0103937651458501,"MEX","M3_CREATSCH"
"Var_(Intercept)",0.0206576019766455,0.0223254321309474,0.93,Inf,0.352371084490516,0.000498424919833541,"MEX","M3_CREATSCH"
"ResidVar",0.938916253372444,0.013544448639642,69.32,Inf,0,0.000183452088951901,"MEX","M3_CREATSCH"
"ExplVar_Lev2_Fixed",-0.00679690788370671,0.00330324997197364,-2.06,Inf,0.0393985408187538,1.09114603773439e-05,"MEX","M3_CREATSCH"
"ExplVar_Lev2_Random",0,0,NA,Inf,NA,0,"MEX","M3_CREATSCH"
"ResidVar_Lev2",0.0206576019766455,0.0223254321309474,0.93,Inf,0.352371084490516,0.000498424919833541,"MEX","M3_CREATSCH"
"ExplVar_Lev1_Fixed",0.135469997262555,0.0623408421377263,2.17,Inf,0.0300068459474644,0.00388638059844091,"MEX","M3_CREATSCH"
"ExplVar_Lev1_Random",0,0,NA,Inf,NA,0,"MEX","M3_CREATSCH"
"ResidVar_Lev1",0.938916253372444,0.013544448639642,69.32,Inf,0,0.000183452088951901,"MEX","M3_CREATSCH"
"Var_Total",1.08824694472794,0.0591172235771318,18.41,Inf,1.09222576604133e-75,0.00349484612346859,"MEX","M3_CREATSCH"
"R2_Lev2",-0.490372836896339,2.22354676108699,-0.22,Inf,0.825871154703571,4.94416019874042,"MEX","M3_CREATSCH"
"R2_Lev1",0.126090590960642,0.047893551582918,2.63,Inf,0.00853848681817871,0.00229379228322562,"MEX","M3_CREATSCH"
"R2_Total",0.118238870324618,0.0452959124561002,2.61,Inf,0.00905422226593465,0.00205171968523069,"MEX","M3_CREATSCH"
"ICC_Uncond",0.0127367176724801,0.0199752625778282,0.64,Inf,0.522172599385723,0.000399011115053183,"MEX","M3_CREATSCH"
"ICC_UncondWB",0.00929673233646363,0.0217948418773356,0.43,Inf,0.667195641190915,0.000475015132458059,"MEX","M3_CREATSCH"
"ICC_Cond",0.0215278916380338,0.0230264228942507,0.93,Inf,0.352371084490516,0.000530216151304873,"MEX","M3_CREATSCH"
"beta_(Intercept)",0.147318982907772,0.174289777522662,0.85,Inf,0.395325086245385,0.0303769265488989,"MEX","M4_CREATEFF"
"beta_BULLIED_CWC",0.0365214790723503,0.0466519175814568,0.78,Inf,0.435390875171466,0.00217640141402704,"MEX","M4_CREATEFF"
"beta_BELONG_CWC",0.0839752979757043,0.0447648084172262,1.88,Inf,0.0601080779223996,0.00200388807263097,"MEX","M4_CREATEFF"
"beta_FEELSAFE_CWC",0.00799260690685372,0.0488504178082493,0.16,Inf,0.872881074217134,0.00238636332004052,"MEX","M4_CREATEFF"
"beta_CREATSCH_CWC",0.261879332359638,0.0504968296178705,5.19,Inf,2.10294080607081e-07,0.00254992980145625,"MEX","M4_CREATEFF"
"beta_ESCS_CWC",0.0789898279135272,0.0445472660386828,1.77,Inf,0.0767271407257425,0.00198445891152118,"MEX","M4_CREATEFF"
"beta_ANXMAT_CWC",-0.027432902828147,0.0470159179881171,-0.58,Inf,0.561914617797129,0.00221049654426535,"MEX","M4_CREATEFF"
"beta_FAMSUP_CWC",0.121622706356727,0.0476620857069118,2.55,Inf,0.0107722919081334,0.00227167441393301,"MEX","M4_CREATEFF"
"beta_ST004D01T",-0.023568059622771,0.102855236700044,-0.23,Inf,0.818091769715988,0.0105791997166221,"MEX","M4_CREATEFF"
"Var_(Intercept)",0.0184653547685996,0.0207603654669918,0.89,Inf,0.373465886074345,0.000430992774323067,"MEX","M4_CREATEFF"
